|review|airline
66|They should change their name to Lost Language Airline..this is the second time they lost mine..I don't think anyone in management cares either. They never responded to my first review, it's ok I'm not giving up on you.. you'll get one star ratting until you put your sh.. together. By the way I'm writing this inside plane waiting for a gate to open up (20 min) so far. I guess they had no idea there is a flight coming in.|air-france
67|"Unaccompanied minor treated unfairly. Possible discrimination. Terrible airline.

Lost objects :    Laptop - MacBook 2016 Color - rose gold Brand - apple Size - 12
inches With charger white Chevron pink and gray color case
Place of loss :    Laptop was sitting on the Seat in the flight - seat number 20K
Other details :    The flight attendant didn't not cooperate and straight away
denied any help. She said to file an online report while I was standing there and
she could have gone back and looked. It's a shame. I believe it was stolen by
the crew or helping crew cause they seemed guilty and mad to even respond to
the request. They did not give their names or didn't call the manager on duty
despite being asked several times. Despite several attempts they did not help or
directed. The kid was crying for 7 hours (until she got on the Delta airline plane
to Cincinnati ) for help but no one attended her. I was on the phone with her she
begged the attendant to talk to her mom (me) but she won't. She couldn't find
any department called 'lost n found' inside the airport area where she got off to
file the complaint cause everyone kept saying that she has to exit the airport to
get to that department and to exit  she needs Paris visa. The police didn't even
pay attention to her for even once. Every single person she approached did
help blew her off. Imagine a little child 13 years old being treated that way !! It's
a shame.
She was only instructed to file an online complaint by an Indian wheelchair
helper at the airport which I did but again how silly is that to file an online
complaint while you're there!! Right there.
They were so mean to her, she was completely traumatized by this experience
and her tiny self was crushed by their rudeness alone besides the pain of losing
her brand new laptop that was a gift from her grand dad. Her faith in humanity
just went down by leaps n bounds I am sure. I am seeking justice in this matter
and I am sure cameras could find who took it. There must be a way to find it I
know that. These thefts are not really minute. It was a mac book pro brand new
and a lot more expensive than the return flight itself. As a single mom I seek
justice for my little girl. I request that the airline must either find that MacBook or
replace it with the same model. I bet all this could be seen in the camera a
little girl running all over the airport with her mom on the phone with her.  hope
that discrimination was not the reason for this treatment with her. I really seek
justice in this matter and an apology from those two crew members who shooed
my daughter shooed away several times.

No help offered by crew members or police, denied to provide names of staff. Minor is currently displaying signs of PTSD and physical acute injury (TMJ) due to incident.  !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!"|air-france
68|"Air France has a very bad Baggage Service customer service. I traveled from San Diego to JFK, Paris, then Tunis. I landed on August 16th in Tunis and it took them three days to deliver two of my bags. During the three days I had to call the French Baggage service four times and had them send three urgent messages. Also, I got some help from someone in Tunis airport who sent a telex to France. The Baggage Service is really bad and not very helpful. All they can do is read you back what you can see on their website and the only value they can provide is send an urgent message. You cannot escalate the issue with them, you cannot talk to a supervisor, they claim they cannot call anyone either. They strictly work with email and you have to be patient and wait for your bags to show-up whenever they show-up. There are at least three daily Air France flights from Paris to Tunis and it took them three days for two 50lbs bags to show-up. Now it is my fifth day and I am still waiting for my last bag.
For verification, my claim number is TUNAF58395 and my Air France flight confirmation number is R6XXPT.
They talk about their policy of a 100 euro as if it is a solution for everything, but they neglect the fact that they could be ruining a wedding event etc... and when I told the customer service this, he said he cared, but was not doing anything for it.
I WILL NEVER FLY AIR FRANCE AGAIN."|air-france
69|They changed my reservation to a much worse flight without any form of compensation!!!|air-france
70|"Our flight was OK but not great. We were in Economy class and we paid premium for exit row seats. I know I need to lose some weight but the seats were just uncomfortable and 10 hours of uncomfortable is not fun. I've flown Lufthansa and KLM and both had better seats and amenities when flying internationally.

The flight attendants were nice enough and food was okay. Would I fly Air France again? Possibly, if I fly business class."|air-france
71|"Never again.

AirFrance employee at CDG closed the gate 5 minutes early, nearly blocking us (and at least 8 other people) from making our connection despite knowing that we were all present at the airport (having flown AirFrance to get there, and having booked our entire itinerary through AirFrance). The only reason we were allowed on board is because my mother, who flew in earlier and was on board even as we were running up to the gate, spoke with the flight attendant and the captain of the plane was literally waiting around for us to board. The gate person was horribly rude, and completely unhelpful. I would almost say she was being malicious.

AirFrance then proceeded to lose not only our bags (almost understandable given the short connection) but my parents bags as well (NOT acceptable, they were at the airport 3 hours, plenty long enough to load some bags on a plane). They couldn't even tell us where my mother's bag was. No follow up to make sure we received our luggage whatsoever.

AirFrance then lost my sister's bag on her way back through CDG to the states.

AirFrance is not worth the money. You will be treated way better with British Airways, KLM, Lufthansa, or probably literally any other airline in their price bracket."|air-france
72|Will never fly Air France again. Strike cancelled my Toronto to Sofia flight the day before. AF could not get me to Sofia for three more days.  I would miss prepaid hotel and guides. Had to rebook last minute with Air Canada. Their strike cost me an additional $1400. Would rate them 0 stars if possible.|air-france
73|"Air France is a formerly good airline which had a rough period and is now trying to return to former goodness (I'd hesitate to say they were ever great, and they probably never will be great again).

The SFO operation is fine. The lounge is pretty meh, but if you can get into the Delta Sky Club, it's marginally better.  SFO is a reasonable first-world airport, so the airline doesn't really have to do much there.

In flight experience is mixed. The AF hard product (seats in Business, aircraft, etc.) is kind of meh -- old 777s and 747s badly in need of refresh, and no lie-flat seats in Business.  The soft product: cabin crew, pilots, catering, etc. are all really good, in my experience.  They've really improved catering in the past couple years.  In general AF J is superior to UA C/F.  SQ, CX, etc. still crush them.

CDG, however, is another story. It's the worst designed (well, evolved, not really designed) major airport I've visited. No useful signage; traveling to a lounge required going through a lot of unmarked doorways, and I went through customs several times going airside to groundside to get between terminals.

CDG lounges are full of obnoxious screaming European children (generally from Italy and Spain; not French and not American), so you get to deal with that while waiting for connecting flights.

Really, just stick to BA, Virgin, or Lufthansa for European flights, especially in premium cabins, and you'll be happier.  LHR isn't a great joy either, but BA and VS are good airlines. Really they're all pretty mediocre compared to the Middle Eastern and Asian carriers; Europe and the US really need to step their game up when it comes to commercial aviation."|air-france
74|"I am not sure if others are as bad, but they allow one carry on and a small item for any class, including business class and 1st class when flying internationally to/from the USA.  Also the size limitation is 21"" X 13"" x 9"".  I was looking for a rolling garment bag and all of the ones I looked at were 14"" and not 13!  The charges for extra baggage are approximately $100 etc....."|air-france
75|"Horrible customer service at airport counters. Dealing with Air France at SFO and Istanbul was like dealing with zombies bent on giving me the worst experience possible.  Rude, bureaucratic, and unapologetic.  Complaints to their ""customer care"" people via AF's website generated equally rude and unapologetic responses.  Avoid Air France if you possibly can!  Not worth the stress and headaches.

Air France's ""service"" is as bad as they come!"|air-france
76|"Absolutely horrible experience attempting to purchase tickets from Air France. During payment processing their site had an issue and stated booking not complete but reservation made. They performed a pre-authorization aganst my bank, locking nearly $5K in funds as pending auth. More than anxious to actually purchase the tickets, I was told by Air France/ Delta that a fax could be sent to my bank to clear the hold. 1st time - lie, no fax sent and no notes of our conversation. 2nd time - ""form completed and fax sent, confirm with your bank recieved"" (no fax) 3rd time - whoever told you a fax could be sent wasn't correct, and they are in a different center with no way to ID who they are or reconnect you with them. 3 days of 8+ calls trying to clear with no progress.

The funds for the flight were set aside in a specific to the purchase, so unable to re-attempt payment or book other tickets as the funds are unavailable. No resolution offered from the Air France/ Delta team, and had to fight to get them to even extend having them honor the reservation. Given 6 days to finalize payment, where funds are locked for another 4 - with hope that release occurs immediately. Seem to care little as to whether they complete the sale - and frankly they likely won't should I find similar flights with another airline."|air-france
77|"I flew them recently from SFO to Paris CDG , then to Bangalore and back again. They aren't the worst airline, but they cannot handle most basic comfort and convenience issues. I have been flying for over 25 years now, and Air France is at the bottom 3 of my top ten, with Singapore, Emirates and Cathay being the top 3.

Here are my issues:

1. Family of 3 with a 5 and a 7 year old. We weren't seated together on the return leg. 3 calls to the customer service got me nowhere and a lot of 'don't care if you don't like us' attitude. Originally the seats were together; they changed the seats on the fly to separate us. Then they wanted 22$ per seat 'coz those were the only ones they had together at that time'. May I mention we called them almost 25 days prior to our flight date? I was really upset that even though we had called in more than 3 weeks prior to our return leg's departure, all seats were already taken, supposedly.

AF - Are you guys running a scam here or what?

2. Special veg meal was ordered, was confirmed, and then got non veg regular meals on the return leg - coz somehow, my name 'wasn't on the list'. The request was made when we initially bought our tickets. One leg was fine, return was not. How is that possible? Lucky I eat non veg, otherwise it would have been bad.

3. Lastly, they advertise that they let you 'choose you seat' online 30 hours before the flight. Don't trust that the seats will be available! Unlike British Airways, who's similar feature allows you to pick your seat among many available, Air France's seats were already mostly taken, (for every leg) and this is exactly 30 hours prior to the flight! (I always pride myself in being among the first to login, check in and try to assign my seats as soon as they are available online)

There were numerous other issues: big, square IFE boxes which are floor mounted on their A330 on B,D,G and J seats. (almost all rows with those seats have them!) They rob about 40% legroom. Floor mounted IFEs have been phased out at most major airlines. Not Air France.

In CDG we broke our journey for a week, to vacation in Paris. (Great city, BTW) when we arrived to board our onward flight at CDG to Bangalore, we found no agents to manually help us with our baggage tags. We had checked in online, but they wouldn't provide human support to give us our boarding passes either! ( at SFO as well as Bangalore, there were agents who tagged our bags, and gave us boarding passes, but not at CDG!). This resulted in a long line of confused passengers booked on various flights trying to print their tags and boarding passes at the 'self service' kiosks. For someone who hasn't manually tagged their own check in bags, the tags aren't that easy to put on!

I get that Air France saves money by having self serve kiosks, but what about the poor passenger with young kids? They are left to stand in a long line, not knowing how to tag the bags, and enduring other annoyances such as unhelpful agents when requesting any info! All this, at their main airport, Paris CDG? Good god!

Too many issues adding up. I am not flying them again, ever."|air-france
78|I would give 0 stars if I could. Flew from LAX( Los Angeles) to CDG (France) with Air France on May 15th. When my cousin and I arrived to France none of our luggages were at the airport. We even spoke with a representative from Air France when getting on our connecting flight at San Francisco airport to verify our luggages would arrive in France when we did. NOPE. That never happened. So we spent the following days scrambling to find clothes rather than sightseeing. I was supposed to go to a wedding and I had no clothes for the occasion. Then two days after my arrival in France, four of my other family members arrived with Air France as well. They all lost their luggages. How can you do that on two separate flights??? The amount of carelessness from this airline is outrageous. So we spent the following days all shopping for necessities. Our family trip was definitely ruined because of this mishap. I have tried to speak with representatives on the phone regarding this matter so we may be reimbursed in some way. Everyone just tries to redirect you right back to their online complaint form so they don't have to deal with you. So far I have heard nothing back from the airline in efforts to correct their problem. Thanks Air France.|air-france
79|The check in process is the worst of any airline, even if you are just dropping off your baggage , it is still the same line and an average wait of 44 minutes.One of the worst airlines|air-france
80|"Posting this in case anyone else has trouble submitting delayed baggage reimbursements on the AirFrance site. The form does not give you any error messages, so it's difficult to figure out what went wrong when you click submit and it just returns a blank form. 1) Attachments must be less than 2MB, 2) I had to use Internet Explorer before it would work.

Loved Air France until my bag was misdirected at CDG. It was found 2 hours after I landed, but I didn't get it back until 4 days later. During that time, I received lectures from their customer service on being patient. The incompetence of their web site was the last straw."|air-france
81|Worst customer service of any airline in the business.  They stole 200 dollars from me for a bag fee for a nonexistent bag that I didn't check and then condescended to me on twitter about it.  It's a lying, cheating, thieving company, and I hope it goes out of business.|air-france
82|"My niece who is twelve was on summer vacation to seattle for about one month to visit her mother, during the flight coming to seattle everything went OK she had helped through out the flight, had her paperwork done correctly and was on her way. So when the day arrived for her to leave to go back to france we all showed up three hours early waited in that horrible long ass line and when we made it up to the counter the check in lady said ""it is to late you should have showed up three hours early"" all of us looked at each other and we explained to her we were in line the whole entire time arriving three hours early, frustrated and pissed off cause it seem like they just up this little girl seat to someone else, we asked for the manager he wasn't able to do anything other then give her mom a $300 dollar voucher for this incident, so she missed her flight and they re-booked the flight for the following day. Her father in france had paid $400 for a special service to accompany this child on that flight not only did they rip him off cause there was no one to accompany this girl to her plane, my wife had to go and do it herself. So the next day we all left early at 9:30am cause her flight leaves at 1pm just to play it cautious, we get to the counter through that long ass line again and still after paying an extra $400 dollars we still got no help or service and on top of that my wife had to take a photo for proof for my niece father to know that this airline did not lie to her dad about the special accompany service they were suppose to do, they also lied telling all of us she didn't need to be walked in cause they were suppose to have someone walk with her then they switched it up and told us that the parent will be arrested if not accompany with the child? WTF!! AIR FRANCE is the most Horrible,dishonest,lying, Airline. I hope someone sues this airline so they get there stuff together and learn about better customer service."|air-france
83|"I booked a roundtrip flight from SFO to Italy using Delta. The flight back connected from Italy to Paris, CDG and was operated by AIr France. Compared to Delta's plane and crew, I loved my experience flying with Air France. The crew was very very friendly and constantly provided flight updates. The seats were comfortable, I loved the entertainment options. There were SOOOOO many movies I had a hard time deciding which ones to pick (always a good problem to have on an 11 hour flight). As far as airplane food goes, it wasn't terrible either. And I like that when you ask for wine, they give you the entire mini bottle :)

Flight was smooth and we actually landed 50 min earlier than expected! The back of my bag was broken somehow (the plastic part that lines it, where the handle retracts into), but I wrote in and received a check pretty quickly!

Since I didn't experience any problems, I can't speak for what everyone else is saying, but I have taken other international flights and compared to those (especially United - I can't believe they don't offer screens for each flyer in int'l economy, that is a JOKE to me. You also get food more frequently when you fly with Delta/Air France), Air France is a great option. I still think Virgin Atlantic is my favorite."|air-france
84|"This review is for the seat selection process. I booked a flight from SFO to CDG many months before the flight date. No seat could be assigned at the time. I tried a few months before the flight and was informed that the company holds most of its seats until 30 hours before the flight. We would have to select seats when we checked in online or at the airport.

At 30 hours I went online to check in but because it was a flight from the U.S., I had to wait until 24 hours before. At 23 hours before (was tied up at work for that first hour), I checked in and the only two seats available together we're at the very back of the plane. I called the airline and thy suggested that I try to change it at the airport gate.

At the airport gate I was told there were no available seats to change to.

So my question is, how the hell did all the other hundreds of passengers get their seats reserved while we couldn't?

We are just praying we don't miss our connection."|air-france
85|"I flew from San Francisco to London via Paris on AF 83 on June 25, 2015.

I had been tracking the AF flights for that week and all were seriously late departing SFO.

That was no exception to my flight.

I must say the on board service was good and the flight attendants were very pleasant.

I travel on Business many times a year to Europe mostly on British Airways and Lufthansa.

This time I tried Air France.

The flight was late departing San Francisco which meant that my connection which was 1 hour and 50 minutes at Paris was reduced to 20 minutes.

The boarding process at SFO was like a cattle stampede

When I opened the sealed bag that contained the comforter, the smell that came from there was PUTRID. The comforter smelled like the previous person who had used it had VOMITED on it and that it was not properly washed after that.

The flight was full so there were no extra blankets to sleep with.

On arrival in Paris I had 20 minutes to make the connection flight , which I did make , mostly because I am an experienced traveler and know how to negotiate the terminals.

My luggage of course did not make the connection flight.

On my arrival at Heathrow I reported to the AF missing luggage counter and filled out the missing luggage form.

My scheduled arrival in to London was 135pm and I had given myself 7 hours of time to account for possible delays before my business dinner that evening.

The AF baggage representative advised me that my luggage would be arriving into London on the next Air France flight from Paris at 420pm and that he would arrange for a priority delivery of the bags to my hotel in central London by no later than between 630pm and 7pm that evening.

My luggage arrived at about 9pm , which meant that I had to quickly go out and purchace clothes for the dinner that evening as I had nothing else to wear.

My Bag arrived and the right wheel which was built in to the construction of the bag (not hanging loosely on the outside of the bag ), had been RIPPED out of the bag rendering it useless to travel with.

This meant that I had to purchase a new suitcase the next morning in London.

When I called Air France In London to tell them what happened they said I must find a baggage repair place somewhere in London on Saturday or Sunday and have them repair the unrepairable bag .Such places are closed on weekend days. I was scheduled to leave London on Monday morning. Air France had just given me the brush off.

The damage done to the luggage was so severe that the force with which it was handled must have been with extreme violence.

So the reader can asses the report themselves.

1. Late flights all week long from SFO.

2. Boarding handled like a cattle ranch.

3. Business Class blanket was filthy.(disgusting)

4. Almost missed connection.

5. Luggage missed connection flight.

6. Luggage delivered after promised time.

7. Luggage destroyed by Air France.

WOW 7 strikes !! that's a LOOSER for a 1st time flight with Air France

That was the first and last experince I will ever have with Air France. Good luck to all those who fly them.

I'll stick to British and Lufthansa for the hundreds of times Ive flown them , I have never had a such a HORRIFIC experience.

Trust me avoid Air France if you possibly can"|air-france
86|"Air France Premium Economy is a joke.  There is nothing premium about it. Flew Minneapolis to Charles De Gaul on an A340 returning CDL to JFK on an A380. Outgoing flight seats were very uncomfortable. Almost zero padding and no possibility of sleep.  TV's are a joke. Food is the same as economy No special service of any kind.  Return trip on the  A380 the food was slightly better but still economy.  Seats the same.  
Don't waist your money."|air-france
87|"I arrived to check in and my baggage was 15kg...this is my carry on and personal item combined. They made me check it for being 3 kg over the 12kg limit. They charged 30euro for that, but they didn't charge my friend because they had last his baggage on the way to Paris a few days ago. I am travelling with him and it was an inconvenience to me as well, however they refused to waive out the charge for me too. I even spoke to a manager named stefanie and she said ""you have to pay, this is where this conversation ends"" no way to treat customers."|air-france
88|"My 3rd & last Air France flight.  I'd give zero stars.  I sincerely recommend that if you are planning to fly to Paris, take another airline company.

Fast details:

*Fly to Paris.  Leave late, arrive late.
*Arrival: After 3.5 hours waiting for luggage to come up the belt, it does not appear.  4 other people on the flight  also do not get thier luggage.
*Luggage is lost for 4 days!  I call 2X per day.  ""Your bags are not here, do not call again, we will call you"" - Says Air France.
*Day 4 - I take train back to airport, meet Air France baggege manager.  My luggage has been in a giant pile holding area for 3 days, I get my luggage.  No apology, no vouchers.

* 21 days later - Return trip home to San Francisco: Get on line @ 8:45 am for 10:40 flight.  Snake thru line.  Get to counter  ""Your flight is closed, we can not get you on the jet"" - They say. ""WHAT?""
* I argue with the operations director for 4 hours to get me on a flight that day.  I am reasonable, they are not.  They ask for 3,305 euros to put me on a plane to Atlanta Georgia!  I argue for 3 more hours, I  fly to Seattle for 730 euros more than I already paid for my original ticket to SFO.  I pay another $200 to fly from Sea-Tac to SFO.

Moral of story.   Never fly Air France again,  Tell everyone to avoid Air France.   In the future, take British Airways to London, take train to Paris or fly Ryan air.

Sincere wish:  Air France goes broke and disappears."|air-france
89|I wish I can give them minus 5,this is the worst company to travel with .don't waist your time and money with them.|air-france
90|"Not sure how many stars to give them...this is only for the Air France SFO ground service staff...

We packed light, no check-in luggage...just needed to use the self service ""machine"" to check in and get our boarding passes printed.   One asks, what can possibly go wrong???  Well...

The machine did NOT print...I asked the customer service young man...he said just wait...I've waited for over 15 minutes...please just wait a little more.  5 more minutes?  I waved him down and asked if he can get some technical help...obviously the machine is NOT working...ok, he says...I will spare you the details...because this took more than an hour and a half of torture...

After directing us to another self service machine and NOTHING but the first leg of the trip printed...he had the gall to send us to WAIT IN LINE!!!!!  If we knew the machines are out of order, we would have waited in line the moment we arrived at SFO!!!!

Lined up we did...I made sure to complain to two ladies who were great...they deserve 5 stars...Rosa and Linda...

Turns out the young man is new to the job...WHY in the world would AF not train someone properly, I cannot understand...thumbs down for them...poor kid...3rd day on the job...

Aside from that:

AF offers the connecting flight to Florence via Paris...but connection cuts too close...we almost missed boarding.

The flight attendants are great on the plane aside from a male attendant on the first leg...food was not great but never expected good food on any economy flights...

Sadly, we don't have much choice if we need to fly into Florence, Italy..."|air-france
91|I actually like flying air France. the flight crew is lovely, service is great and the amenities are OK.|air-france
92|Actually the worst experience I have ever had with an airline. I fly often, I'm 23 years old and Air France was a recommendation from a friend and I thought I'd give them a try on a long distance from LAX to Queen Alia in Jordan. From before the departure flight to now I have hated the entire experice. They changed our departure flight without informing us, changing our seats to regular seats when I had paid for seat plus. The service on the plane was awful. The seating arrangement was MORE THAN AWFUL. the regular economy seats don't have room to even stretch your ankles. I ended up having to contact their return service to get my money back for the seats I paid for and didn't get to sit in. That took forever to deal with. On the flight from France to Amman I didn't get my seat plus seats and those were like regular Virgin America seats. You get maybe 2 or 3 more inches of space in front of you. I shouldn't have to pay extra for ordinary seats. Now my trip is almost over and my return flight takes off tonight. I wanted to purchases extra baggage as I've accumulated a lot of gifts. They said to purchase online, that it would be cheaper. I got a notification while I was checking in online to buy my extra baggage options. And I signed up with their flying Blue card so I'm supposed to get some discount when I buy the baggage online. After working on this for an hour, it turns out I'm not a ALLOWED to buy any baggage options online...what? Then why do you advertise the discount? False advertising. Awful service. Awful online/app capabilities. Awful seats. Awful customer service on the phones. I had a single good experice with the woman at the check in counter at LAX. I wish I got her name. Otherwise this whole trip was ridiculousness. I would never recommend and I will never fly with them again.|air-france
93|This is my first time putting a bad review regarding AirFrance. My flight with air france from Paris to NY, carrying 2 kids (2,5 years and 9 months was just horrible) This was on August 23, 2018. First of all, I had to carry my 9 months old during the 9 hours of my flight, as the bassinet was very tight for him, and I had to take care of 2.5 years with one hand. No one from the cabin crew tried to help, in fact, they were looking at me very weird, it's like I did something bad. Even when I asked them to bring the bassinet in the begging, she gave me a bad face. I struggled alone during my 9 hours without any, any any help. Then la cerise sur le gateau, I had a couple seating next me, who tried to change their seats as soon as they saw my babies, but the flight was full. My 2.5 almost threw up when we started out landing, they started screaming at me, both adults, they were saying we pais for our tickets, it's OK we all did, even my baby. Excuse me if you are seating next to strange people (Kids). The cabin crew DIDN'T DO ANYTHING to intervene. I felt alone among monsters who don't like seating next to innocent people. Plus when the plane landed and everyone left the cabin. The people from the cabin crew were all standing in front of me, and no one offered to help me to take our my luggage from the above cabinet. One of the passanger felt sorry for me and he did it. Bottom line, be careful when you travel with your kids with AIRFRANCE. Thank you AIRFRANCE for your discrimination. Merci|air-france
94|"I'm sorry, but this airline SUCKS.

I flew direct from SFO to Paris...BOTH directions reminded me of a ghetto version of an international airline.  I usually experience these kind of piss poor standards on local flights.  But international?  Puhleeze.  

The food is atrocious.  

Legroom?  Forget it!  And I'm only 5'1"".  Pathetic.

Somehow, I got stuck in a seat where the video screen didn't work.  For 3 hours I had to mooch off of others' TV despite several complaints to the staff.

What else can I say...Air France has to do a lot more than offer some free used headphones, airplugs, and bad wine.  Free stuff comes with every international flight I've ever been on, so big freaking whoop.  

Pay a little more and get on another carrier!"|air-france
95|"Where should I even start? To prologue this review I should mention that before experiencing the wonder that is AirFrance, I was kind of having the worst day on my trip. TigerAir was just horrible: $4 for drinks, $40 for checked luggage. Ick! Before departure on TigerAir I prepared my belongings to be carried on because I really didn't want to check in any bag and pay $40. Long story short, security didn't like what I was bringing on board so I got detained and ended up missing my flight. So many things went wrong from there, but I suppose all worked out eventually, especially because I was blessed with having to take a later flight to my destination under AirFrance. I don't know if it was because of sudden contrast from terrible to way above-average, but everything about this airline blew me away!
First of all, I've never seen so many crew members serving such a tiny flyer population on board before! The isles were delightfully filled with men and women who were serving a full-blown meal and drinks on a 1.5-hour flight! We barely got off the ground and everyone's cups were filled and laughter filled the cabin. I asked for OJ, which they didn't have right then and there, so I said I'll have a coke instead. Before I knew it, my table had a coke and an OJ. I don't even recall seeing how it got there!
Second of all, the crew was super professional: they greeted us while we were boarding. Not just the captain; every crew member was standing and smiling as we walked down the isle. ""Bonjour!"" everywhere!
Thirdly, the bathrooms were the cleanest I've seen on any aircraft during all my years of travel. I felt like I was in first class with the roominess and cleanliness. We had a private TV screen, comfortable leather-eared headphones, amazing service, and so much leg room!
Fourth, their prices from Singapore to Jakarta were the cheapest in kayak.com. I use kayak to search for cheap flights and so far it hasn't let me down. AirFrance was cheaper than TigerAir! And with all the pros listed above, it seriously is a wonder how they stay in business.
As a minimalist traveler, I like to legally steal from hotels and airlines, especially their pillows because they are portable and comfortable. I actually felt guilty even thinking about stealing from AirFrance. They deserve every penny I gave them for my wonderful experience and I wouldn't think about taking anything from them. Go me!

Anyways, this wasn't my first time on AirFrance. From what I recall, they consistently please me with their service. It's just now that I am bringing this to my conscious."|air-france
96|"Not bad but there's room for some improvement. My boyfriend and I had to fly from SFO to LAX to CDG (Paris). We purchased Premium Economy tickets which I found worth it. Overall our flights were very comfortable and smooth. For Premium Economy (sky priority) you get to have a nice short wait to board in a different line, not economy. Fantastic! When we found our seats, there were conveniently place pillow and blankets and bottled water. We received a make up bag containing socks, sleep eye mask, toothbrush, etc. For premium economy, the main course is the same but the sides/dessert are a lot better (compare marinated shrimp cocktail versus cole slaw). Good selection of movies to watch.

Service and food:
-The flight attendants were VERY nice and attentive.
-Food wasn't too bad, but then again, I'm not a foodie.

Some downsides:
-They changed our return flight time (3 hours earlier) 9_9 and changed our seat selections. Not cool since the idea was to pay more to get the seats we wanted.
-Online check in not guaranteed to work. Finally I was able to get in but then they said there was an error and that we'd have to visit the desk associate at bag check in. Never really understood why other than they overbooked our connecting flight from LAX to SFO.
-I experienced delays on these flights. (captain drove away from the gate only to realize a door was open and having to drive all the way back)
-Takes forever to get off the plane after landing...really.

If I choose to fly to Europe again I may look at other airlines before trying Air France again. I was pleasantly surprised though considering I had read many many negative reviews on their airline and expecting the worse."|air-france
97|"My boyfriend surprised me and upgraded us from premium to business class.  We hung out at the lounge in SFO and although they had champagne and a nespresso type machine they totally lacked in food items.  We ate some sandwich squares and lays chips.  How French is that?

The flight itself was amazing.  Sooo comfortable up in business and I was surprised to find out that first class was only available in the jumbo planes usually coming to and from Japan.  I guess I won't be experiencing first anytime soon.

Another thing that rocks is the direct flight from SF to Paris.  I hate connecting flights.  There weren't any problems while on board; everyone was super nice and attentive.  We flew back in premium and although the seats weren't as nice the service was still very good.

My boyfriend's family lives in France so I'm glad I had such a good experience with them since we'll be flying back fairly often."|air-france
98|"I am a French transplant to California and have been flying once a year for the last 20 years. Initially and when it was just me, it was fine. However, now that i fly with my children it's a nightmare. The rudeness and lack of help for people is unbelievable.

This particular time, i am flying with my 2 kids, 8 and 17 months, with the latter on my lap. They stuck me in a regular row and when i called to talk about that, i had the following conversation with a rep who sounded like i was bugging him:

Me: Can you move me to the upper deck where Economy has only 2 seats on the side.
AF: No it's a preferred seats for special customers (i.e not me!)
Me: Well i have been flying your airline once a year for 20 years that doesn't make me special?
AF: No it's for people in a different pricing category
Me: You mean i paid such a low price i don't qualify?
AF: yes

You know, i am used to French customer service but this is BAD. Make your customers pay a premium and then tell them they are crap..."|air-france
99|"I am French but have lived in San Francisco for the last 15 years. I have flown back and forth about 22 times since. I used to only fly United when they had a non-stop and NEVER had one problem. However, they canceled the non-stop and i had a baby, which means that my goal is to travel from point A to point B as fast as possible and therefore my only option is Air France.

Everytime i book a flight i cringe that i have to give that much money for such bad service. French flight attendants are like all french employees..they want to do the least amount possible and only care about their benefits (believe me i know!). So they only like single passengers who never ask for anything, barely move and watch movies on their iphones. If you have a special request, need help, order a special meal or god forbid have a child, they will treat you like crap the entire time. Because of course you are interfering with their desire to do nothing.
I have only traveled with a child post 911 and my #1 goal is to need nothing from no one. I have never asked to have a bottle warmed, never asked for ANYTHING at all. Yet, when they bring my SLEEPING kid his special kid meal (oops there i go..something special) they just drop it and turn around. So he eats cold when he wakes up. It has happened all 3 times we have gone since he can eat and they have never offered to come back. Last time my american husband, who doesn't know you never argue with a french employee, asked them to take it back. You should have seen their faces.
We went to the back of the plane for the snacks that are offered (but not delivered) in the middle of the flight. My 4 year old asked politely in french if he could have something and they just gestured toward him to help himself.
Did i mention that the plane is usually late, that, like 20 years ago you have to take a BUS to the plane..i could go on and on. It's service only a french person could stand because they are used to it. Guess i have lived here too long.
Yet next months i will be torturing my whole family with this rotten airline again. avoid"|air-france
100|"Do not ever ever ever book a flight on Air France that is operated by Alitalia. It is the classic Catch 22. I booked two premium economy seats. The site noted I could not book seats till check in (! Right! and get the dregs). As a frequent traveler, I knew I could call the airlines to get my seats. AF said, ""Nope. Gotta call Alitalia who operates the flight."" I called Alitalia. ""Nope. We can't do it because you booked through Air France."" !!!! Called Air France and asked for supervisor. She called Alitalia. Same answer. It's a ""code share"" flight so no way can I get seats! Amazingly, she told me if I had booked the Alitalia flight with either Delta or KLM (the same flight operated by Alitalia) then I COULD have booked my seats! Nothing on the site indicated that. I've wasted about an hour and a half on the phone in this Kafka-esque universe."|air-france
101|"I cannot give more than 1 star. Although the flight was timely and the quality of in-flight service and entertainment, etc., was all fine, the seats are so tiny that the 8-hour flight from Atlanta to Paris was incredibly uncomfortable. Everyone around me was remarking on how incredibly narrow the seats were. I am an average size and height woman, and I even had booked a bulkhead window seat; however, I was massively uncomfortable the entire time, unable to sleep at all on this overnight flight, and arrived at my overseas destination completely exhausted and sore all over. This was a ""wide-ride"" plane with 2 aisles and 3 rows across of seats, which apparently had been refitted to make room for more seats in a 3/4/3 configuration. Will NEVER fly with them again."|air-france
